8 - Whether or not reservation to article 16 of CEDAW

Indicator Name,Region,Country Code,Country,Measure Name,Measure Value,Footnote
Whether or not reservation to article 16 of CEDAW,Western Asia,422,Lebanon,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,512,Oman,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,512,Oman,Reservations to CEDAW - Equality to choose residence,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,512,Oman,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,512,Oman,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,512,Oman,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Equality to choose residence,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,634,Qatar,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,This reservation is expressed in the form of a Declaration.
Whether or not reservation to article 16 of CEDAW,Western Asia,682,Saudi Arabia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,682,Saudi Arabia,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,682,Saudi Arabia,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,Reservations to CEDAW - Equality to choose residence,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,760,Syrian Arab Republic,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,784,United Arab Emirates,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,Western Asia,792,Turkey,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,792,Turkey,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Western Asia,887,Yemen,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,96,Brunei Darussalam,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,96,Brunei Darussalam,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,96,Brunei Darussalam,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,104,Myanmar,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,116,Cambodia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,116,Cambodia,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,360,Indonesia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,360,Indonesia,Optional Protocol,Signature only,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,418,Lao People's Democratic Republic,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,458,Malaysia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,458,Malaysia,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,458,Malaysia,Reservations to CEDAW - Other concerns,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,458,Malaysia,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,458,Malaysia,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,608,Philippines,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,608,Philippines,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,626,Timor-Leste,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,626,Timor-Leste,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,702,Singapore,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,702,Singapore,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,702,Singapore,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,702,Singapore,Reservations to CEDAW - Equality in employment,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,702,Singapore,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Reservation,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,704,Viet Nam,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,764,Thailand,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,764,Thailand,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,South-eastern Asia,764,Thailand,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,156,China,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,CEDAW Status,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Optional Protocol,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Elimination of discrimination,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Equality to choose residence,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Equal rights in marriage and family,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Equality in employment,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Other concerns,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Equality of nationality,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,344,China  Hong Kong Special Administrative Region,Reservations to CEDAW - Compatibility with religious laws or traditional codes,Not applicable,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,408,Democratic People's Republic of Korea,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,408,Democratic People's Republic of Korea,Reservations to CEDAW - Elimination of discrimination,Reservation,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,408,Democratic People's Republic of Korea,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,410,Republic of Korea,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,410,Republic of Korea,Optional Protocol,Ratified,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,410,Republic of Korea,Reservations to CEDAW - Equal rights in marriage and family,Reservation,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,410,Republic of Korea,Reservations to CEDAW - Equality of nationality,Reservation,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,496,Mongolia,CEDAW Status,Ratified,-
Whether or not reservation to article 16 of CEDAW,Eastern Asia,496,Mongolia,Optional Protocol,Ratified,-
