2b - Whether or not ratified ILO convention 175 on part-time work

Indicator Name,Region,Country Code,Country,Date,Measure Name,Measure Value,Footnote
Whether or not ratified ILO convention 175 on part-time work,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Developed regions,840,United States of America,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Northern Africa,12,Algeria,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Northern Africa,434,Libya,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Northern Africa,504,Morocco,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Northern Africa,788,Tunisia,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Northern Africa,818,Egypt,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,90,Solomon Islands,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,184,Cook Islands,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,242,Fiji,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,296,Kiribati,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,548,Vanuatu,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,584,Marshall Islands,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,585,Palau,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,598,Papua New Guinea,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,776,Tonga,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,798,Tuvalu,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Oceania,882,Samoa,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,24,Angola,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,72,Botswana,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,108,Burundi,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,120,Cameroon,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,132,Cabo Verde,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,140,Central African Republic,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,148,Chad,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,174,Comoros,-,Status,Not ratified,-
Whether or not ratified ILO convention 175 on part-time work,Sub-Saharan Africa,178,Congo,-,Status,Not ratified,-
