country,year,all,women,men,value,indicator
United Kingdom (Northern Ireland),2009,8396,2114,6282,25.17865650309671,Police personnel
United Kingdom (Scotland),2009,17273,4349,12924,25.17802350489203,Police personnel
Kosovo under UNSCR 1244,2009,7240,925,6315,12.776243093922652,Police personnel
Serbia,2009,32548,3138,29410,9.64114538527713,Police personnel
Slovenia,2009,7842,1141,6701,14.5498597296608,Police personnel
Luxembourg,2009,1603,165,1438,10.293200249532127,Police personnel
Netherlands,2009,49597,14018,35579,28.26380627860556,Police personnel
Poland,2010,97535,12813,84722,13.136822679038294,Police personnel
Russian Federation,2010,779846,154410,625436,19.800063089379186,Police personnel
Slovakia,2010,21559,3198,18361,14.833712138781948,Police personnel
Finland,2010,8102,1148,6954,14.169340903480622,Police personnel
Iceland,2010,663,77,586,11.613876319758672,Police personnel
Sweden,2010,20292,5535,14757,27.276759314015376,Police personnel
United Kingdom (England and Wales),2010,139109,36532,102577,26.26142090015743,Police personnel
United Kingdom (Northern Ireland),2010,8159,2166,5993,26.547371001348203,Police personnel
United Kingdom (Scotland),2010,17217,4459,12758,25.898820932798976,Police personnel
Kosovo under UNSCR 1244,2010,7234,874,6360,12.081835775504562,Police personnel
Portugal,2010,47409,3045,44364,6.422831108017465,Police personnel
Serbia,2010,33477,3501,29976,10.457926337485437,Police personnel
Slovenia,2010,7776,1157,6619,14.879115226337449,Police personnel
Spain,2010,178511,17207,161304,9.639181899154673,Police personnel
Austria,2010,27504,3468,24036,12.609075043630018,Police personnel
Luxembourg,2010,1655,179,1476,10.81570996978852,Police personnel
Netherlands,2010,49745,14371,35374,28.88933561161926,Police personnel
Poland,2011,97474,13330,84144,13.675441656236535,Police personnel
Russian Federation,2011,746996,148652,598344,19.899972690616817,Police personnel
Slovakia,2011,21180,3221,17959,15.207743153918791,Police personnel
Finland,2011,8121,1210,6911,14.899642901120552,Police personnel
Iceland,2011,644,74,570,11.490683229813664,Police personnel
United Kingdom (England and Wales),2011,134100,35962,98137,26.817500503359458,Police personnel
United Kingdom (Northern Ireland),2011,7855,2165,5690,27.56206238064927,Police personnel
United Kingdom (Scotland),2011,17343,4636,12707,26.731246035864615,Police personnel
Andorra,2011,242,21,221,8.677685950413224,Police personnel
Kosovo under UNSCR 1244,2011,7205,845,6360,11.72796668979875,Police personnel
Serbia,2011,33983,3750,30233,11.034929229320543,Police personnel
Slovenia,2011,7631,1149,6482,15.057004324465995,Police personnel
Spain,2011,181110,18385,162725,10.151289271713324,Police personnel
