Japon	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	47.0%	0.06
Lesotho	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	58.0%	0.16
Islande	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	56.0%	0.12
Tanzanie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	32.0%	0.36
Pologne	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	61.0%	0.22
République_arabe_syrienne	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	40.0%	0.2
Islande	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	56.0%	0.12
Éthiopie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	30.0%	0.4
Corée	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	40.0%	0.2
Iran	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	34.0%	0.32
Turquie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	33.0%	0.34
Espagne	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	48.0%	0.04
Maroc	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	35.0%	0.3
Fidji	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	9.0%	0.82
Argentine	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	54.0%	0.08
Botswana	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	51.0%	0.02
Égypte	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	32.0%	0.36
Arménie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	65.0%	0.3
Ex-République_yougoslave_de_Macédoine	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	51.0%	0.02
Équateur	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	49.0%	0.02
Géorgie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	62.0%	0.24
Tanzanie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	32.0%	0.36
Bolivie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	40.0%	0.2
Ukraine	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	64.0%	0.28
Belgique	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	49.0%	0.02
Russie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	64.0%	0.28
Kirghizistan	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	62.0%	0.24
Chine_(République_populaire_de)	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	52.0%	0.04
Maroc	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	35.0%	0.3
Espagne	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	48.0%	0.04
Israël	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	52.0%	0.04
Serbie-et-Monténégro	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	56.0%	0.12
Chili	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	50.0%	0.0
Italie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	47.0%	0.06
Sri_Lanka	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	48.0%	0.04
Allemagne	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	50.0%	0.0
République_dominicaine	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	51.0%	0.02
Danemark	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	53.0%	0.06
Ouganda	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	35.0%	0.3
Italie	2006	Pourcentage_de_femmes_parmi_les_cadres_et_techniciens	47.0%	0.06
