annee,pays,nom,femmes,hommes
2017,Allemagne,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,85,92
2017,Espagne,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,78,85
2017,France,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,83,88
2017,Italie,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,77,86
2017,Portugal,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,86,88
2017,Suède,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,89,90
2017,Royaume-Uni,Taux d’emploi des titulaires d’un diplôme de niveau Licence ou plus,82,90
