annee,pays,nom,part de femmes
2000,France,Part des femmes diplômées d’un titre d’ingénieur,22
2008,France,Part des femmes diplômées d’un titre d’ingénieur,27
2015,France,Part des femmes diplômées d’un titre d’ingénieur,28
2017,France,Part des femmes diplômées d’un titre d’ingénieur,28
