Groupes de spécialités de formation,,pays,année,formulation,Part des femmes (%),value,map_value
Classe prépa BTS,"Informatique, traitement de l'information, transmission des données",France,2016,"Classe prépa BTS - Informatique, traitement de l'information, transmission des données, part des femmes",7,7%,0.86
Classe prépa BTS,Spécialités plurivalentes sanitaires et sociales,France,2016,"Classe prépa BTS - Spécialités plurivalentes sanitaires et sociales, part des femmes",94.5,94.5%,0.89
Classe prépa BTS,Santé,France,2016,"Classe prépa BTS - Santé, part des femmes",77.1,77.1%,0.542
Classe prépa BTS,Travail social,France,2016,"Classe prépa BTS - Travail social, part des femmes",94.5,94.5%,0.89
Classe prépa BTS,"Accueil, hôtellerie, tourisme",France,2016,"Classe prépa BTS - Accueil, hôtellerie, tourisme, part des femmes",68.9,68.9%,0.378
Classe prépa BTS,"Coiffure, esthétique, autres spécialités des services aux personnes",France,2016,"Classe prépa BTS - Coiffure, esthétique, autres spécialités des services aux personnes, part des femmes",99.2,99.2%,0.984
Classe prépa BTS,"Nettoyage, assainissement, protection de l'environnement",France,2016,"Classe prépa BTS - Nettoyage, assainissement, protection de l'environnement, part des femmes",26.9,26.9%,0.462
Classe prépa BTS,Application des droits et statuts des personnes,France,2016,"Classe prépa BTS - Application des droits et statuts des personnes, part des femmes",82.4,82.4%,0.648
Classe prépa BTS,Total des spécialités des services,France,2016,"Classe prépa BTS - Total des spécialités des services, part des femmes",61.3,61.3%,0.226
Classe prepa BTS Ensemble des spécialités,,France,2016,,49.4,49.4,0.012
► Champ : France métropolitaine + DOM.,,,,,,,
L’utilisation du point (.) représente un pourcentage inférieur à 1 ; l’utilisation du tiret (-) rend compte d’une valeur nulle.,,,,,,,
(1) Données rectifiées par rapport à celles publiées l'an dernier par l'intégration des STS maritimes.,,,,,,,
"(2) Cette hausse s'explique par l'ouverture de la filière ""Conception de processus de réalisation de produits"" (classée dans la spécialité 223) qui remplace notamment la filière ""Industrialisation de produits mécaniques"" (classée dans la spécialité 250).",,,,,,,
"Lecture : 66,2 % des étudiants en STS, Classe prépa BTS sont inscrits dans le secteur des services. Les établissements privés scolarisent 37,4 % d’entre eux. Les femmes représentent 61,3 % des étudiants formés dans ce secteur.",,,,,,,
,,,,,,,
"Source : MESRI-SIES / Système d'information Scolarité, système d'information Safran du ministère en charge de l’agriculture.",,,,,,,
