annee,pays,nom,part de femmes
2013,France,part de femmes dans l'emploi spectacle vivant: artistes interprétes,34.9
2013,France,part de femmes dans l'emploi spectacle vivant: cadres,38.8
2013,France,part de femmes dans l'emploi spectacle vivant: non cadres,40.3
