COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.7,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,24.0,,
DEU,Allemagne,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.6,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,20.3,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,20.4,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,25.0,,
GRC,Grèce,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,25.1,,
HUN,Hongrie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,17.0,,
HUN,Hongrie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,16.8,,
HUN,Hongrie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.8,,
HUN,Hongrie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,22.4,,
ISL,Islande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,16.2,,
ISL,Islande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,16.5,,
ISL,Islande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.9,,
ISL,Islande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,19.3,,
IRL,Irlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,19.0,,
IRL,Irlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,18.6,,
IRL,Irlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,21.7,,
IRL,Irlande,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,23.0,,
ITA,Italie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,22.0,,
ITA,Italie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,21.6,,
ITA,Italie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,27.3,,
ITA,Italie,EMP16,"Nombre potentiel d'années à la retraite, par sexe",WOMEN,Femme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,26.0,,
JPN,Japon,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2010,2010,YR,Années,0,Unités,,,15.1,,
JPN,Japon,EMP16,"Nombre potentiel d'années à la retraite, par sexe",MEN,Homme,TOTAL,Total,2012,2012,YR,Années,0,Unités,,,15.8,,
