COU,Pays,IND,Indicateur,SEX,Sexe,AGE,Age Group,TIME,Temps,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,1998,1998,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,1999,1999,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2000,2000,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2001,2001,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2002,2002,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2003,2003,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2004,2004,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2005,2005,WEEK,Semaines,0,Unités,,,0.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2006,2006,WEEK,Semaines,0,Unités,,,6.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2007,2007,WEEK,Semaines,0,Unités,,,6.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2008,2008,WEEK,Semaines,0,Unités,,,6.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2009,2009,WEEK,Semaines,0,Unités,,,6.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2010,2010,WEEK,Semaines,0,Unités,,,6.0,,
AUS,Australie,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,2011,2011,WEEK,Semaines,0,Unités,,,6.0,,
AUT,Autriche,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,1970,1970,WEEK,Semaines,0,Unités,,,12.0,,
AUT,Autriche,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,1971,1971,WEEK,Semaines,0,Unités,,,12.0,,
AUT,Autriche,EMP18_MAT,Durée du congé de maternité,WOMEN,Femme,TOTAL,Total,1972,1972,WEEK,Semaines,0,Unités,,,12.0,,
