indicator,fr,es
"Seats held by women in national parliament, as of February (%)",Femmes au parlement national,
Ratio of girls to boys in primary education,Filles étudiantes dans l’enseignement primaire,Niñas en la enseñanza superior
Ratio of girls to boys in secondary education,Femmes étudiantes dans l’enseignement secondaire,Mujeres en la enseñanza secundaria
Ratio of girls to boys in tertiary education,Femmes étudiantes dans l’enseignement supérieur,Mujeres en la enseñanza superior
