annee,pays,nom,part de femmes
2011-2015,France,Part des films réalisés par des femmes,22.3
2011-2015,Allemagne,Part des films réalisés par des femmes,19.7
2011-2015,Grande Bretagne,Part des films réalisés par des femmes,11.5
2011-2015,Italie,Part des films réalisés par des femmes,10.2
2011-2015,Espagne,Part des films réalisés par des femmes,11.6
